"Palay and Corn: Volume of Production in Metric Tons by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2025"

"Ecosystem/Croptype","Geolocation","1987 Annual","1988 Annual","1989 Annual","1990 Annual","1991 Annual","1992 Annual","1993 Annual","1994 Annual","1995 Annual","1996 Annual","1997 Annual","1998 Annual","1999 Annual","2000 Annual","2001 Annual","2002 Annual","2003 Annual","2004 Annual","2005 Annual","2006 Annual","2007 Annual","2008 Annual","2009 Annual","2010 Annual","2011 Annual","2012 Annual","2013 Annual","2014 Annual","2015 Annual","2016 Annual","2017 Annual","2018 Annual","2019 Annual","2020 Annual","2021 Annual","2022 Annual","2023 Annual","2024 Annual","2025 Annual"
"Irrigated Palay","....Batanes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,4.43,9.15,3.34,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
"Irrigated Palay","....Cagayan",167978.00,213851.00,204045.00,181114.00,152862.00,147158.00,133899.00,267501.00,289949.00,299120.00,373141.00,322474.00,364610.00,409902.00,412787.00,422611.00,393557.00,442217.00,420619.00,553304.00,560153.00,570332.00,533489.00,548071.00,645666.00,727269.00,726371.00,767655.00,768404.00,676619.00,856840.00,690568.00,794319.00,789781.00,897380.00,909003.00,944681.00,888425.00,..
"Irrigated Palay","....Isabela",596980.00,632520.00,633226.00,746654.00,663783.00,735617.00,567848.00,661716.00,772481.00,819910.00,869000.00,581753.00,970489.00,981337.00,987905.00,904556.00,916919.00,1030331.00,1075755.00,952630.00,995836.00,1010466.00,1015001.00,831542.00,1002162.00,1135271.00,1173490.00,1215738.00,1200602.00,1165053.00,1223410.00,1124488.00,1310683.68,1309801.00,1366983.53,1395376.56,1407282.65,1389630.81,..
"Irrigated Palay","....Nueva Vizcaya",93405.00,111699.00,109331.00,107966.00,103079.00,110309.00,113763.00,129387.00,152560.00,144959.00,149767.00,143614.00,166718.00,177874.00,186104.00,188739.00,194697.00,197323.00,203130.00,212773.00,217892.00,222070.00,220570.00,192367.00,208545.00,229271.00,241263.00,244824.00,259144.00,258649.00,263474.00,261789.00,261956.00,245203.00,298907.00,276919.63,289970.89,282025.90,..
"Irrigated Palay","....Quirino",31112.00,29581.00,38321.00,41223.00,36938.00,36744.00,36232.00,39417.00,39176.00,42995.00,40750.00,33797.00,52179.00,49091.00,51079.00,49377.00,42810.00,52352.00,55453.00,49958.00,52573.00,69156.00,73489.00,61105.00,67928.00,85525.00,84093.00,82071.00,75020.00,81417.00,85308.00,82862.00,95200.00,104853.00,117388.00,108501.63,109950.73,94507.16,..
"Irrigated Palay","..REGION III (CENTRAL LUZON)",1293183.00,1048929.00,1405974.00,1485592.00,1446530.00,1433817.00,1269411.00,1595653.00,1502350.00,1668115.00,1744925.00,1191124.00,1652584.00,1712113.00,1866233.00,1919829.00,2095908.00,2149102.00,2254494.00,2365130.00,2628489.00,2710433.00,2537528.00,2712810.00,2386583.00,2939815.00,3093762.00,3423053.00,3059780.00,3114840.12,3342794.00,3346165.00,3504637.32,3421393.54,3555263.23,3496451.05,3528142.38,3376738.43,..
"Irrigated Palay","....Aurora",24265.00,35419.00,28267.00,47966.00,41412.00,43624.00,49276.00,49503.00,56785.00,55938.00,56523.00,54018.00,59908.00,61526.00,63548.00,63707.00,69741.00,70164.00,73167.00,73344.00,80879.00,83464.00,83606.00,79549.00,80571.00,85142.00,82768.00,89958.00,82176.00,72993.00,93680.00,98933.00,99412.89,86435.00,110260.00,101636.00,96764.12,81594.10,..
"Irrigated Palay","....Bataan",67427.00,56968.00,59455.00,62852.00,54122.00,64266.00,64674.00,74801.00,78621.00,108317.00,104680.00,90215.00,93171.00,79476.00,103087.00,101829.00,113378.00,113433.00,123946.00,128624.00,129059.00,132779.00,123436.00,129557.00,121627.00,133389.00,138256.00,152624.00,149562.00,121095.00,134787.00,129062.24,115584.88,124065.00,116003.05,114451.46,108184.07,106129.43,..
"Irrigated Palay","....Bulacan",207304.00,190127.00,249708.00,224489.00,224346.00,229409.00,187447.00,204876.00,164597.00,193659.00,207757.00,65671.00,199972.00,185872.00,205251.00,228297.00,202965.00,212400.00,227532.00,233192.00,225499.00,267857.00,234965.00,235294.00,190734.00,291355.00,307236.00,308408.00,292908.00,311737.00,313224.00,308404.00,311062.60,306751.77,326677.64,363362.65,340854.32,295751.00,..
"Irrigated Palay","....Nueva Ecija",606442.00,423172.00,637191.00,710004.00,750428.00,711917.00,646667.00,812206.00,756392.00,788308.00,799360.00,593743.00,717117.00,775223.00,818990.00,817407.00,958334.00,982491.00,1008653.00,1083546.00,1211036.00,1245667.00,1233490.00,1275979.00,1193138.00,1452825.00,1520319.00,1758634.00,1474352.00,1576079.00,1737108.00,1740010.81,1860078.14,1815295.86,1822245.97,1754296.11,1820369.54,1761056.05,..
"Irrigated Palay","....Pampanga",156922.00,150329.00,179821.00,178476.00,157832.00,156875.00,159505.00,210994.00,199717.00,225008.00,225562.00,128793.00,202638.00,217957.00,238901.00,258736.00,261490.00,261791.00,280974.00,320654.00,376722.00,384710.00,325313.00,382521.00,300539.00,375868.00,405770.00,416811.00,410240.00,416692.00,423177.00,426207.00,450211.84,421937.80,476974.60,474339.44,463526.28,421586.75,..
"Irrigated Palay","....Tarlac",185883.00,156129.00,208744.00,214551.00,183020.00,205708.00,136540.00,207966.00,209098.00,250860.00,300281.00,215141.00,324956.00,334137.00,372313.00,389909.00,423112.00,438663.00,462110.00,443755.00,523418.00,513925.00,460151.00,527609.00,422775.00,513321.00,537763.00,592121.00,545825.00,522975.00,543430.00,545225.95,563189.00,539562.95,585616.81,586344.56,592478.23,603758.00,..
"Irrigated Palay","....Zambales",44940.00,36785.00,42788.00,47254.00,35370.00,22018.00,25302.00,35307.00,37140.00,46025.00,50762.00,43543.00,54822.00,57922.00,64143.00,59944.00,66888.00,70160.00,78112.00,82015.00,81876.00,82031.00,76567.00,82301.00,77199.00,87915.00,101650.00,104497.00,104717.00,93269.12,97388.00,98322.00,105097.97,127345.16,117485.16,102020.84,105965.82,106863.09,..
"Irrigated Palay","..REGION IV-A (CALABARZON)",285678.00,285566.00,319016.00,312496.00,346261.00,346807.00,354459.00,325249.00,254953.00,304323.00,300823.00,267541.00,351026.00,326680.00,325265.00,300534.00,302452.00,328673.00,319057.00,301486.00,314735.00,340836.00,301253.00,320595.00,320479.00,309406.00,321378.00,332796.00,322856.00,326911.00,324459.00,336835.70,328086.47,305676.54,319785.96,310322.06,348925.44,255046.90,..
"Irrigated Palay","....Batangas",26948.00,32049.00,40314.00,55288.00,56900.00,59311.00,42887.00,44767.00,36565.00,41308.00,44607.00,34120.00,40555.00,45155.00,45958.00,45131.00,44058.00,45715.00,42482.00,39398.00,36607.00,43981.00,40543.00,39133.00,37983.00,34236.00,37409.00,33819.00,32196.00,30072.00,30524.00,32390.31,32780.12,24435.00,26724.84,27369.61,32418.66,17188.99,..
"Irrigated Palay","....Cavite",35312.00,36864.00,47397.00,52663.00,55745.00,52841.00,45974.00,43515.00,31632.00,42797.00,45932.00,34431.00,45193.00,35502.00,46962.00,42199.00,42829.00,48751.00,51988.00,35000.00,34746.00,36749.00,35373.00,43175.00,34993.00,35782.00,39373.00,44484.00,40688.00,34301.00,33343.00,35465.28,28500.76,23415.60,27089.66,22744.58,20668.09,15205.98,..
"Irrigated Palay","....Laguna",121395.00,112917.00,119146.00,102783.00,119274.00,124918.00,125639.00,107068.00,92960.00,118338.00,117017.00,139084.00,148315.00,130496.00,113973.00,95185.00,96063.00,106466.00,106147.00,105138.00,122809.00,135999.00,109521.00,121511.00,124500.00,119114.00,127498.00,130383.00,132837.00,130596.00,129142.00,130358.53,148969.61,127442.83,116832.31,124491.01,142053.67,111209.66,..
"Irrigated Palay","....Quezon",86112.00,85721.00,92188.00,76376.00,90344.00,82723.00,113224.00,109595.00,75685.00,76093.00,62694.00,39308.00,87928.00,89908.00,91189.00,90557.00,86330.00,93002.00,85396.00,89027.00,94932.00,95575.00,94096.00,90123.00,94295.00,95889.00,94594.00,102003.00,91604.00,104594.00,105758.00,114259.00,101224.42,117940.60,127357.00,113964.00,132266.00,94284.44,..
"Irrigated Palay","....Rizal",15911.00,18015.00,19971.00,25386.00,23998.00,27014.00,26735.00,20304.00,18111.00,25787.00,30573.00,20598.00,29035.00,25619.00,27183.00,27462.00,33172.00,34739.00,33044.00,32923.00,25641.00,28532.00,21720.00,26653.00,28708.00,24385.00,22504.00,22107.00,25531.00,27348.00,25692.00,24362.58,16611.56,12442.52,21782.16,21752.86,21519.02,17157.82,..
"Irrigated Palay","..MIMAROPA REGION",210541.00,291225.00,306348.00,262631.00,361748.00,333719.00,356491.00,349174.00,338104.00,361934.00,391845.00,327484.00,419232.00,445011.00,434949.00,459224.00,487082.00,474993.00,487619.00,524257.00,552042.00,536497.00,596159.00,594515.00,666073.00,711572.00,726402.00,779339.00,791572.00,791547.00,845481.00,895044.12,858672.71,866024.10,879954.74,874397.96,889478.36,840875.54,..
"Irrigated Palay","....Marinduque",2475.00,2829.00,3565.00,2934.00,3726.00,3753.00,4238.00,4305.00,4633.00,6398.00,5951.00,7618.00,10479.00,11227.00,12007.00,11816.00,11599.00,11921.00,10510.00,11581.00,11437.00,10922.00,11123.00,8534.00,9735.00,7390.00,8098.00,7206.00,7508.00,8196.00,12291.00,9105.00,7685.00,11215.00,10627.00,11392.59,10549.00,9230.00,..
"Irrigated Palay","....Occidental Mindoro",112549.00,152461.00,168172.00,107736.00,136393.00,120828.00,124999.00,125311.00,119659.00,138379.00,152146.00,111198.00,147843.00,153100.00,140270.00,152790.00,167448.00,147771.00,136816.00,138267.00,166450.00,193199.00,212039.00,201929.00,215950.00,227453.00,233258.00,237388.00,252496.00,246490.00,239592.00,258095.00,230373.00,216695.00,258025.00,252297.22,260157.88,235601.90,..
"Irrigated Palay","....Oriental Mindoro",64095.00,105306.00,106438.00,113988.00,172500.00,167451.00,171612.00,138605.00,137119.00,142083.00,153069.00,145940.00,166154.00,172027.00,172179.00,182439.00,193740.00,192791.00,223670.00,246990.00,245362.00,215850.00,242299.00,249624.00,287901.00,311254.00,325999.00,356563.00,345219.00,336078.00,364153.00,377321.12,363327.71,374683.10,340002.74,322873.78,312077.22,298348.70,..
"Irrigated Palay","....Palawan",28281.00,26158.00,25322.00,26535.00,38753.00,30969.00,44582.00,69381.00,64177.00,61430.00,65856.00,49963.00,78714.00,92369.00,93787.00,94180.00,93646.00,103155.00,98726.00,108623.00,111174.00,99195.00,111132.00,115914.00,130998.00,143986.00,139805.00,159390.00,168385.00,182874.00,208941.00,229539.00,238309.00,243545.00,251514.00,267223.13,285628.65,279653.50,..
"Irrigated Palay","....Romblon",3141.00,4471.00,2851.00,11438.00,10376.00,10718.00,11060.00,11572.00,12516.00,13644.00,14823.00,12765.00,16042.00,16288.00,16706.00,17999.00,20649.00,19355.00,17897.00,18796.00,17619.00,17331.00,19566.00,18514.00,21489.00,21489.00,19242.00,18792.00,17964.00,17909.00,20504.00,20984.00,18978.00,19886.00,19786.00,20611.24,21065.61,18041.44,..
"Irrigated Palay","..REGION V (BICOL REGION)",389605.00,470979.00,451619.00,508755.00,526274.00,514525.00,495560.00,488073.00,445492.00,437271.00,488748.00,373435.00,477145.00,458883.00,480003.00,521025.00,533171.00,684685.00,722297.00,657678.00,759873.00,724258.00,739995.00,791987.00,735577.00,815197.00,872206.00,881474.00,923012.00,918904.00,955709.00,971551.52,869718.72,907068.47,973198.37,939293.47,923040.74,859434.87,..
"Irrigated Palay","....Albay",85602.00,104688.00,100161.00,119732.00,138636.00,144710.00,165947.00,138783.00,117080.00,128364.00,125848.00,90465.00,114425.00,99465.00,83609.00,102846.00,105173.00,124085.00,149632.00,132526.00,126365.00,126079.00,135030.00,147111.00,159599.00,165703.00,179205.00,183787.00,170430.00,170595.00,175189.00,177658.66,168768.51,186439.70,190727.00,193457.00,196126.35,174048.80,..
"Irrigated Palay","....Camarines Norte",35940.00,43496.00,37946.00,37688.00,45700.00,43067.00,30786.00,35815.00,29596.00,31705.00,29067.00,24649.00,39409.00,29900.00,35520.00,33786.00,32680.00,45605.00,48194.00,46894.00,48993.00,45708.00,48408.00,52681.00,51842.00,56364.00,62149.00,61313.00,59925.00,60298.00,69631.00,72594.40,63315.24,70972.22,79206.88,73657.05,71828.77,58883.10,..
"Irrigated Palay","....Camarines Sur",180710.00,227549.00,227649.00,241327.00,230443.00,219584.00,187637.00,217421.00,217666.00,193464.00,240598.00,185241.00,240865.00,248436.00,265118.00,281039.00,294955.00,409140.00,417957.00,380858.00,459755.00,419430.00,420538.00,461725.00,394503.00,434964.00,464196.00,461297.00,529138.00,521988.00,539115.00,546469.00,488526.00,483608.00,536442.00,514860.00,503853.00,493475.00,..
"Irrigated Palay","....Catanduanes",3157.00,7289.00,9179.00,9056.00,13264.00,9852.00,9801.00,7793.00,10028.00,12895.00,10593.00,5748.00,11462.00,8705.00,10167.00,11764.00,14760.00,11077.00,11211.00,12685.00,15969.00,18789.00,20998.00,17170.00,18717.00,14854.00,15105.00,17681.00,18898.00,19938.00,19519.00,22159.46,14347.71,13969.55,13089.49,12804.97,8227.67,8653.20,..
"Irrigated Palay","....Masbate",6831.00,6305.00,4621.00,10203.00,8440.00,8395.00,9660.00,9640.00,7205.00,8613.00,7871.00,8153.00,8931.00,9273.00,9520.00,8928.00,8949.00,9156.00,9804.00,12248.00,18071.00,27567.00,22371.00,23930.00,26218.00,45413.00,51919.00,53387.00,42500.00,40080.00,44796.00,42905.00,40681.26,41589.00,39992.00,35166.00,36286.20,31771.11,..
"Irrigated Palay","....Sorsogon",77365.00,81652.00,72063.00,90749.00,89791.00,88917.00,91729.00,78621.00,63917.00,62230.00,74771.00,59179.00,62053.00,63104.00,76069.00,82662.00,76654.00,85622.00,85499.00,72467.00,90720.00,86685.00,92650.00,89370.00,84698.00,97899.00,99632.00,104009.00,102121.00,106005.00,107459.00,109765.00,94080.00,110490.00,113741.00,109348.45,106718.75,92603.66,..
"Irrigated Palay","..REGION VI (WESTERN VISAYAS)",449348.00,509465.00,534089.00,450499.00,571379.00,654658.00,838609.00,820892.00,747646.00,880392.00,807255.00,630250.00,922355.00,976772.00,945759.00,990945.00,1038003.00,1114381.00,1055876.00,1198704.00,1157896.00,1240210.00,1247237.00,1007228.00,1188422.00,1156461.00,1087993.00,1085142.00,1113382.00,993869.00,1114054.00,1102620.30,1043647.28,1104361.68,1132195.41,1111178.21,1115633.31,613341.80,..
"Irrigated Palay","....Aklan",51610.00,55818.00,68746.00,49485.00,55231.00,63335.00,97546.00,86531.00,78463.00,71546.00,73561.00,66556.00,81122.00,78730.00,79964.00,77208.00,75881.00,93639.00,85232.00,82781.00,79056.00,74141.00,72678.00,61936.00,66450.00,70517.00,74014.00,57547.00,59118.00,57935.00,71591.00,62205.30,51411.78,69009.61,59082.25,63292.57,50760.50,46855.00,..
"Irrigated Palay","....Antique",67043.00,56128.00,66609.00,63291.00,103689.00,100506.00,95891.00,76879.00,86892.00,141217.00,135831.00,139102.00,144971.00,168586.00,162028.00,170809.00,137650.00,139203.00,155895.00,162301.00,169609.00,163424.00,163287.00,131307.00,183984.00,175255.00,181521.00,182435.00,183861.00,174426.00,182215.00,191613.00,195654.50,145642.00,180991.00,182680.97,160721.77,124679.56,..
"Irrigated Palay","....Capiz",41654.00,44155.00,46085.00,43409.00,47036.00,51104.00,52716.00,57673.00,60070.00,62341.00,51724.00,43913.00,68623.00,68803.00,68271.00,75314.00,93704.00,101457.00,99030.00,99879.00,116346.00,120942.00,127496.00,110997.00,106370.00,105768.00,98006.00,104106.00,97562.00,98944.00,114004.00,108263.00,96806.00,115347.08,117104.16,103998.66,91750.82,91063.58,..
"Irrigated Palay","....Guimaras",0.00,0.00,0.00,0.00,0.00,0.00,0.00,14336.00,4759.00,5672.00,8751.00,9815.00,9872.00,11861.00,12413.00,8447.00,12628.00,9739.00,11060.00,12237.00,11697.00,13617.00,13712.00,11301.00,14949.00,16622.00,10666.00,12819.00,10182.00,9256.00,12009.00,11307.00,12057.00,16447.00,15734.00,16609.00,16657.00,15234.00,..
"Irrigated Palay","....Iloilo",161353.00,206008.00,198483.00,165678.00,193951.00,260914.00,402669.00,390272.00,335339.00,364587.00,340373.00,228094.00,365436.00,371995.00,364973.00,411787.00,448693.00,481109.00,410947.00,529970.00,462978.00,547607.00,547905.00,374406.00,484217.00,452846.00,387702.00,393256.00,417270.00,336441.00,397008.00,385974.00,345861.00,415731.99,416881.00,414843.00,455544.22,335509.66,..
"Irrigated Palay","....Negros Occidental",127688.00,147356.00,154166.00,128636.00,171472.00,178799.00,189787.00,195201.00,182123.00,235029.00,197015.00,142770.00,252331.00,276797.00,258110.00,247380.00,269447.00,289234.00,293712.00,311536.00,318210.00,320479.00,322159.00,317281.00,332452.00,335453.00,336084.00,334979.00,345389.00,316867.00,337227.00,343258.00,341857.00,342184.00,342403.00,329754.00,340199.00,..,..
"Irrigated Palay","..NEGROS ISLAND REGION",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,376911.24,..
"Irrigated Palay","....Negros Occidental a/",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,319542.00,..
"Irrigated Palay","....Negros Oriental b/",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56123.00,..
"Irrigated Palay","....Siquijor b/",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1246.24,..
"Irrigated Palay","..REGION VII (CENTRAL VISAYAS)",79775.00,92892.00,133447.00,125646.00,130797.00,121561.00,104131.00,104067.00,115816.00,120920.00,130724.00,86636.00,116358.00,123524.00,138048.00,130937.00,143305.00,154392.00,144515.00,157504.00,167168.00,192239.00,170058.00,175798.00,205841.00,208926.00,223090.00,215066.00,217166.00,166024.00,216966.00,209718.00,156774.00,182178.70,199134.00,169504.30,200540.85,155080.76,..
"Irrigated Palay","....Bohol",21901.00,23077.00,28100.00,19224.00,23228.00,22039.00,32542.00,43065.00,48663.00,59482.00,66637.00,37124.00,59326.00,61934.00,73281.00,66398.00,74310.00,84596.00,76482.00,83933.00,87648.00,111349.00,98262.00,106274.00,129727.00,134055.00,145861.00,145083.00,145601.00,104476.00,143303.00,139470.00,98137.00,122071.70,132849.00,110438.85,136425.87,146271.44,..
"Irrigated Palay","....Cebu",5609.00,6203.00,5773.00,8070.00,6518.00,4417.00,4932.00,7640.00,9261.00,9907.00,12177.00,7020.00,11933.00,12290.00,13892.00,14764.00,13794.00,14344.00,12885.00,12826.00,14181.00,15381.00,15192.00,14512.00,15797.00,15688.00,16493.00,15695.00,13763.00,13135.00,13786.00,12880.00,10739.00,10541.00,11222.00,10632.76,10684.00,8809.32,..
"Irrigated Palay","....Negros Oriental",51139.00,63223.00,96072.00,96654.00,99838.00,94178.00,65774.00,52361.00,56816.00,50200.00,50520.00,41442.00,43415.00,47410.00,48622.00,47218.00,52849.00,52924.00,52753.00,58351.00,63136.00,62949.00,53978.00,52313.00,57524.00,56693.00,58457.00,52089.00,55262.00,46724.00,57501.00,55121.00,46576.00,48197.00,52840.00,45402.00,51222.59,..,..
"Irrigated Palay","....Siquijor",1126.00,389.00,3502.00,1698.00,1213.00,927.00,883.00,1001.00,1076.00,1331.00,1390.00,1050.00,1684.00,1890.00,2253.00,2557.00,2352.00,2528.00,2395.00,2394.00,2203.00,2560.00,2626.00,2699.00,2793.00,2490.00,2279.00,2199.00,2540.00,1689.00,2376.00,2247.00,1322.00,1369.00,2223.00,3030.69,2208.39,..,..
"Irrigated Palay","..REGION VIII (EASTERN VISAYAS)",199019.00,215523.00,209848.00,186302.00,201073.00,203815.00,236009.00,227426.00,264949.00,261078.00,270050.00,231832.00,306232.00,314419.00,347444.00,380203.00,415051.00,438393.00,488546.00,512150.00,593218.00,631886.00,573225.00,562586.00,568222.00,570250.00,554227.00,550832.00,549640.00,542684.36,532995.00,532732.10,523000.21,526967.49,513218.93,488987.39,497257.70,496978.70,..
"Irrigated Palay","....Biliran",0.00,0.00,0.00,0.00,0.00,0.00,0.00,39703.00,47404.00,45832.00,47412.00,41174.00,48292.00,50329.00,51397.00,53113.00,54061.00,55614.00,62420.00,70652.00,70223.00,69521.00,68025.00,66492.00,66255.00,66282.00,66063.00,66144.00,66368.00,67704.36,65160.00,55728.00,53690.00,53609.00,53222.50,52579.26,51706.00,51426.00,..
"Irrigated Palay","....Eastern Samar",1892.00,677.00,524.00,705.00,1036.00,1203.00,1271.00,1434.00,3467.00,3436.00,3218.00,2148.00,3843.00,3941.00,3984.00,4243.00,4445.00,4864.00,5796.00,6406.00,9316.00,12403.00,11389.00,12092.00,15735.00,17895.00,19807.00,19985.00,19248.00,19409.00,18848.00,18054.00,17979.00,17161.30,15806.08,11907.69,12967.29,12173.38,..
