"Geolocation","Commodity","year","month","price","date"
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"May",15.29,2011-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"June",15.09,2011-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"July",15.19,2011-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"August",15.24,2011-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"September",14.81,2011-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"October",14.85,2011-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"November",15.11,2011-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"December",15.31,2011-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"Annual",15.05,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"January",15.37,2012-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"February",16.01,2012-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"March",15.92,2012-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"April",15.99,2012-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"May",16.22,2012-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"June",16.42,2012-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"July",16.35,2012-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"August",16.37,2012-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"September",15.84,2012-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"October",15.42,2012-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"November",15.53,2012-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"December",15.64,2012-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"Annual",15.92,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"January",15.54,2013-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"February",15.57,2013-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"March",15.68,2013-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"April",15.62,2013-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"May",15.9,2013-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"June",16.31,2013-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"July",16.98,2013-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"August",17.98,2013-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"September",17.43,2013-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"October",16.8,2013-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"November",17.13,2013-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"December",17.36,2013-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"Annual",16.53,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"January",17.88,2014-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"February",18.49,2014-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"March",19.02,2014-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"April",19.83,2014-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"May",20.12,2014-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"June",20.44,2014-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"July",20.72,2014-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"August",20.66,2014-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"September",20.06,2014-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"October",19.02,2014-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"November",18.86,2014-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"December",18.4,2014-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2014,"Annual",19.46,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"January",17.65,2015-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"February",17.37,2015-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"March",17.55,2015-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"April",17.64,2015-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"May",17.45,2015-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"June",17.54,2015-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"July",17.89,2015-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"August",18.02,2015-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"September",17.95,2015-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"October",17.16,2015-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"November",17.18,2015-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"December",17.2,2015-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2015,"Annual",17.55,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"January",17.2,2016-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"February",17.56,2016-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"March",17.71,2016-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"April",17.96,2016-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"May",18.09,2016-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"June",18.28,2016-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"July",18.57,2016-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"August",18.4,2016-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"September",18.21,2016-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"October",16.71,2016-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"November",16.96,2016-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"December",17.48,2016-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2016,"Annual",17.76,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"January",17.72,2017-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"February",17.73,2017-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"March",17.82,2017-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"April",18.23,2017-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"May",18.53,2017-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"June",18.83,2017-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"July",18.57,2017-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"August",18.49,2017-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"September",18.13,2017-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"October",17.35,2017-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"November",17.6,2017-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"December",17.9,2017-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2017,"Annual",18.08,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"January",18.71,2018-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"February",19.41,2018-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"March",20.12,2018-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"April",20.31,2018-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"May",20.2,2018-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"June",19.97,2018-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"July",20.49,2018-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"August",21.79,2018-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"September",21.73,2018-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"October",19.59,2018-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"November",19.11,2018-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"December",19.28,2018-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2018,"Annual",20.06,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"January",19.09,2019-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"February",19.11,2019-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"March",18.09,2019-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"April",18.13,2019-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"May",17.77,2019-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"June",17.61,2019-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"July",17.1,2019-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"August",15.97,2019-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"September",15.41,2019-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"October",15.03,2019-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"November",14.78,2019-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"December",15.26,2019-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2019,"Annual",16.95,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"January",15.74,2020-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"February",15.82,2020-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"March",17.05,2020-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"April",18.49,2020-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"May",18.81,2020-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"June",18.32,2020-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"July",18.02,2020-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"August",17.39,2020-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"September",15.67,2020-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"October",14.81,2020-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"November",15.03,2020-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"December",15.94,2020-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2020,"Annual",16.76,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"January",16.4,2021-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"February",16.81,2021-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"March",17.1,2021-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"April",17.07,2021-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"May",16.97,2021-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"June",17.18,2021-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"July",17.34,2021-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"August",17.23,2021-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"September",16.18,2021-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"October",15.78,2021-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"November",16.35,2021-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"December",16.65,2021-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2021,"Annual",16.76,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"January",17.15,2022-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"February",17.71,2022-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"March",17.43,2022-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"April",17.23,2022-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"May",17.24,2022-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"June",17.58,2022-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"July",17.85,2022-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"August",17.61,2022-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"September",17.06,2022-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"October",17.44,2022-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"November",17.35,2022-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"December",17.68,2022-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2022,"Annual",17.44,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"January",17.74,2023-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"February",18.19,2023-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"March",18.57,2023-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"April",18.79,2023-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"May",19.06,2023-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"June",19.23,2023-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"July",19.44,2023-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"August",22.16,2023-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"September",19.91,2023-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"October",20.6,2023-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"November",21.95,2023-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"December",22.89,2023-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2023,"Annual",19.88,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"January",24.92,2024-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"February",25.03,2024-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"March",24.55,2024-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"April",24.51,2024-04-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"May",24.79,2024-05-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"June",24.65,2024-06-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"July",24.36,2024-07-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"August",23.44,2024-08-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"September",22.33,2024-09-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"October",20.47,2024-10-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"November",20.23,2024-11-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"December",20.7,2024-12-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2024,"Annual",23.33,NA
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2025,"January",20.68,2025-01-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2025,"February",20.29,2025-02-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2025,"March",18.57,2025-03-01
"PHILIPPINES","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2025,"April",17.69,2025-04-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"January",14.32,2010-01-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"February",14.31,2010-02-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"March",15.31,2010-03-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"April",14.21,2010-04-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"May",14.69,2010-05-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"September",13.61,2010-09-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"October",14.69,2010-10-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"November",14.37,2010-11-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"December",14.46,2010-12-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2010,"Annual",14.44,NA
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"January",14.17,2011-01-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"February",14.85,2011-02-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"March",15.58,2011-03-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"April",15.22,2011-04-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"May",15.27,2011-05-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"September",15.5,2011-09-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"October",15.52,2011-10-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"November",16.33,2011-11-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"December",16.11,2011-12-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2011,"Annual",15.39,NA
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"January",16.04,2012-01-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"February",16.75,2012-02-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"March",15.84,2012-03-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"April",16.81,2012-04-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"May",16.46,2012-05-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"June",17.33,2012-06-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"July",17.31,2012-07-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"August",18.3,2012-08-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"September",16.97,2012-09-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"October",16.11,2012-10-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"November",16.35,2012-11-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"December",16.39,2012-12-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2012,"Annual",16.72,NA
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"January",16.16,2013-01-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"February",16.4,2013-02-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"March",16.27,2013-03-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"April",16.78,2013-04-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"May",16.81,2013-05-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"June",16.96,2013-06-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"July",17.64,2013-07-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"August",17.71,2013-08-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"September",17.4,2013-09-01
"..Cordillera Administrative Region (CAR)","Palay [Paddy] Other Variety, dry (conv. to 14% mc)",2013,"October",17.82,2013-10-01
